Company,Business Address Street,Business Address City,Business Address State,Business Address Postal Code,Phone Business,Categories
American Apparel ,1841 Broadway,New York,NY,10023-,(212) 265-3386,Business Retail
American Bible Society Bookstore,1865 Broadway,New York,NY,10023-,(212) 408-1385,Business Retail
American Folk Art Museum Book & Gift Shop,125 Columbus Avenue,New York,NY,10023-,(212) 595 9533 X121,Business Retail
"Apple Store, Upper West Side",1981 Broadway,New York,NY,10023,(212) 209-3400,Business Retail
Banana Republic,1976 Broadway,New York,NY,10023-,(212) 362-7320,Business Retail
Barnes & Noble,1972 Broadway,New York,NY,10023,(212) 595-6859,Business Retail
BCBG Max Azria,2005 Broadway,New York,NY,10023-,(212) 496-1853,Business Retail
Bebe,10 Columbus Circle,New York,NY,10019,(212) 262-2690,Business Retail
Bolton's,181 Amsterdam Avenue,New York,NY,10023-,(212) 362-7396,Business Retail
Brooks Brothers,1934 Broadway,New York,NY,10023,(212) 362-2374,Business Retail
Burberry Brit,160 Columbus Avenue,New York,NY,10023,(212) 595-0934,Business Retail
Capezio,201 Amsterdam Avenue,New York,NY,10023,(212) 586-5140,Business Retail
Gap,1988 Broadway,New York,NY,10023-,(212) 721-5304,Business Retail
Gracious Home,1992 Broadway,New York,NY,10023-,(212 )231-7800,Business Retail
Himalayan Crafts,2007 Broadway,New York,NY,10023-,(212) 787-8500,Business Retail
Jacadi,1841 Broadway,New York,NY,10023-,(212) 246-2753,Business Retail
Kiehl's,154 Columbus Avenue,New York,NY,10023-,(212) 799-3438,Business Retail
Lilibeth,1885 Broadway,New York,NY,10023,(212) 823-2540,Business Retail
LOFT,2017 Broadway,New York,NY,10023-,(212) 873-7344,Business Retail
lululemon athletica,1928 Broadway,New York,NY,10023-,(212) 712-1767,Business Retail
MAC,148 Columbus Avenue,New York,NY,10023-,(212) 769-0725,Business Retail
MXYPLYZYK,10 Columbus Circle,New York,NY,10019,(800) 243-9810,Business Retail
New York Look,30 Lincoln Plaza,New York,NY,10023,(212) 245-6511,Business Retail
New York Look,2030 Broadway,New York,NY,10023-,(212) 362-8650,Business Retail
Planet Kids,191 Amsterdam Ave.,New York,NY,10023,(212) 362-3931,Business Retail
Pottery Barn,1965 Broadway,New York,NY,10023-,(212) 579-8477,Business Retail
Raymour and Flanigan,1961 Broadway,New York,NY,10023,(646) 556-9390,Business Retail
State News,151 Amsterdam Avenue,New York,NY,10023-,(212) 875-9654,Business Retail
Tani,2020 Broadway,New York,NY,10023-,(212) 873-4361,Business Retail
TD Bank,1873 Broadway,New York,NY,10023,(212) 245-0033,Business Retail
"The Emporium, Ltd.",20 West 64th Street,New York,NY,10023,(212) 724-9521,Business Retail
The Juilliard Store,60 Lincoln Center Plaza,New York,NY,10023-,(212) 799-5000,Business Retail
The Metropolitan Opera Shop,70 Lincoln Center Plaza,New York,NY,10023-,(212) 580-4090,Business Retail
The Store at MAD,2 Columbus Circle,New York,NY,10019,(212) 299-7700,Business Retail
UGG Australia,160 Columbus Avenue,New York,NY,10023,(212) 671-1190,Business Retail
West Elm,1870 Broadway,New York,NY,10023,(212) 247-8077,Business Retail
Whole Foods Market,10 Columbus Circle,New York,NY,10019,(212) 823-9600,Business Retail
Wolford,10 Columbus Circle,New York,NY,10019,(212) 265-7814,Business Retail
Zara  ,1963 Broadway,New York,NY,10023,(212) 362-4272,Business Retail
A|X Armani Exchange,10 Columbus Circle,New York,NY,10019-,(212) 823-9321,Business Retail TW
Aveda ,10 Columbus Circle,New York,NY,10019,(212) 823-9714,Business Retail TW
Borders,10 Columbus Circle,New York,NY,10019-,(212) 823-9775,Business Retail TW
Bose,10 Columbus Circle,New York,NY,10019-,(212) 823-9314,Business Retail TW
BOSS Hugo Boss,10 Columbus Circle,New York,NY,10019-,(212) 485-1900,Business Retail TW
Cache,10 Columbus Circle,New York,NY,10019-,(212) 823-9693,Business Retail TW
Coach,10 Columbus Circle,New York,NY,10019-,(212) 581-4115,Business Retail TW
Cole Haan,10 Columbus Circle,New York,NY,10019-,(212) 823-9420,Business Retail TW
Crabtree & Evelyn,10 Columbus Circle,New York,NY,10019-,(212) 823-9584,Business Retail TW
D. Fiori,10 Columbus Circle,New York,NY,10019-,(212) 823-9444,Business Retail TW
Davidoff at Columbus Circle,10 Columbus Circle,New York,NY,10019,(212) 823-6383,Business Retail TW
Eileen Fisher,10 Columbus Circle,New York,NY,10019-,(212) 823-9575,Business Retail TW
Esprit,10 Columbus Circle,New York,NY,10019-,(212) 823-9922,Business Retail TW
FACE Stockholm,10 Columbus Circle,New York,NY,10019-,(212) 823-9415,Business Retail TW
Godiva Chocolatier,10 Columbus Circle,New York,NY,10019-,(212) 823-9462,Business Retail TW
J Crew,10 Columbus Circle,New York,NY,10019-,(212) 823-9302,Business Retail TW
J.W. Cooper,10 Columbus Circle,New York,NY,10019-,(212) 823-9380,Business Retail TW
L'Occitane,10 Columbus Circle,New York,NY,10019-,(212) 333-4880,Business Retail TW
Maurice Jewelers,10 Columbus Circle,New York,NY,10019-,(212) 823-9393,Business Retail TW
Montmartre,10 Columbus Circle,New York,NY,10019-,(212) 823-9821,Business Retail TW
Morgenthal Frederics,10 Columbus Circle,New York,NY,10019-,(212) 956-6402,Business Retail TW
NY Running Company,10 Columbus Circle Suite 210,New York,NY,10019-,(212) 823-9626,Business Retail TW
Satya Experience,10 Columbus Circle Ground Floor,New York,NY,10019,(212) 823-9486,Business Retail TW
Sephora,10 Columbus Circle,New York,NY,10019-,(212) 823-9383,Business Retail TW
Sisley,10 Columbus Circle,New York,NY,10019-,(212) 823-9567,Business Retail TW
Solstice,10 Columbus Circle,New York,NY,10019-,(212) 823-9590,Business Retail TW
